wx,wy,wz,nx,ny,nz,tx,ty,tz,class
-8.61,12.96,14.645,-0.485,6.433,2.04,0.363,8.122,5.702,badminton
-8.186,12.33,14.991,-0.644,5.881,1.95,0.406,8.176,5.839,badminton
-7.871,11.978,15.346,-0.879,5.365,1.791,0.445,8.167,5.723,badminton
-7.74,11.741,15.161,-1.02,4.907,1.553,0.462,8.147,5.522,badminton
-7.337,11.611,14.469,-0.98,4.588,1.298,0.413,8.283,5.47,badminton
-6.511,11.594,13.515,-0.907,4.439,1.068,0.225,8.668,5.605,badminton
-5.484,11.632,12.518,-0.984,4.571,0.877,-0.074,9.206,5.769,badminton
-4.361,11.769,11.581,-1.219,4.841,0.789,-0.508,9.838,5.861,badminton
-3.22,12.055,10.871,-1.323,5.094,0.758,-1.033,10.515,5.898,badminton
-2.211,12.287,10.342,-1.301,5.321,0.769,-1.587,11.017,5.915,badminton
-1.361,12.334,10.069,-1.194,5.429,0.875,-2.28,11.085,5.807,badminton
-0.715,12.184,9.797,-1.277,5.412,1.12,-3.189,10.584,5.692,badminton
-0.206,11.881,9.426,-1.614,5.292,1.328,-4.427,9.632,5.616,badminton
0.265,11.461,8.927,-1.92,5.236,1.545,-5.544,8.475,5.313,badminton
0.779,10.933,8.384,-1.93,5.32,1.697,-5.711,7.284,4.697,badminton
1.156,10.315,7.76,-2.076,5.32,1.724,-4.684,6.31,3.868,badminton
1.41,9.656,7.117,-2.041,5.409,1.69,-3.25,5.507,2.81,badminton
1.632,9.011,6.568,-1.955,5.424,1.756,-1.771,4.942,1.871,badminton
1.782,8.49,6.134,-1.89,5.556,2.063,-0.606,4.717,1.334,badminton
1.964,8.212,5.892,-1.866,5.903,2.221,0.139,4.831,1.238,badminton
2.324,8.29,5.832,-1.93,6.489,2.17,0.42,5.239,1.326,badminton
2.952,8.632,5.976,-1.987,7.195,2.377,0.387,5.811,1.536,badminton
3.78,9.03,6.314,-1.99,7.901,2.648,0.28,6.359,1.822,badminton
4.521,9.256,6.738,-2.046,8.467,3.085,0.281,6.762,2.266,badminton
4.978,9.212,6.914,-2.201,8.945,3.789,0.487,6.987,2.822,badminton
5.065,8.99,6.713,-2.369,9.331,4.475,0.942,7.075,3.393,badminton
5.019,8.854,6.293,-2.336,9.488,4.817,1.553,7.135,3.752,badminton
4.957,8.945,5.734,-2.124,9.523,4.787,2.209,7.242,3.791,badminton
5.061,9.286,5.09,-1.805,9.785,4.699,2.878,7.397,3.51,badminton
5.429,9.759,4.312,-1.517,10.21,4.76,3.443,7.59,3.214,badminton
6.243,10.198,3.746,-1.124,10.458,4.894,3.828,8.034,3.212,badminton
7.424,10.499,3.693,-0.475,10.411,4.906,3.943,8.787,3.621,badminton
8.774,10.523,3.962,0.198,10.27,4.556,3.668,9.646,4.871,badminton
9.93,10.196,4.263,1.038,9.963,4.101,2.872,10.241,6.859,badminton
10.53,9.606,4.59,1.836,9.725,3.579,1.846,10.563,8.55,badminton
10.1,8.961,4.906,2.284,9.618,3.132,1.037,10.693,9.424,badminton
8.897,8.473,5.036,1.993,9.606,3.021,0.638,10.718,9.346,badminton
7.47,8.14,4.954,1.135,9.686,3.189,0.351,10.727,8.435,badminton
6.274,7.863,4.706,0.132,9.801,3.408,-0.063,10.682,7.259,badminton
5.441,7.548,4.439,-0.68,10.08,3.473,-0.517,10.508,6.233,badminton
4.966,7.198,4.217,-1.063,10.278,3.28,-0.97,10.171,5.595,badminton
4.852,6.829,3.921,-0.971,10.357,3.074,-1.492,9.676,5.608,badminton
5.009,6.494,3.577,-0.464,10.307,2.994,-1.96,9.086,5.995,badminton
5.227,6.159,3.357,0.456,10.141,3.005,-2.139,8.586,6.025,badminton
5.309,5.835,3.341,1.524,9.956,2.934,-1.967,8.246,5.608,badminton
5.203,5.531,3.367,2.266,9.95,2.713,-1.75,8.094,4.982,badminton
4.925,5.225,3.389,2.478,10.127,2.598,-1.581,8.079,4.356,badminton
4.472,4.934,3.303,2.277,10.315,2.792,-1.517,8.1,3.885,badminton
3.918,4.653,3.212,1.85,10.23,3.274,-1.618,8.144,3.82,badminton
3.405,4.372,3.109,1.255,9.817,3.748,-1.793,8.276,4.165,badminton
3.015,4.116,2.879,0.56,9.245,3.861,-1.733,8.483,4.389,badminton
2.808,4,2.604,-0.135,8.757,3.561,-1.354,8.645,4.196,badminton
2.91,4.123,2.574,-0.765,8.496,3.031,-0.81,8.764,3.735,badminton
3.318,4.413,2.844,-1.196,8.547,2.642,-0.364,8.924,3.484,badminton
3.774,4.691,3.255,-1.15,8.644,2.577,-0.187,9.023,3.741,badminton
4.019,4.837,3.525,-0.546,8.529,2.677,-0.205,9.046,3.99,badminton
3.949,4.847,3.637,0.521,8.037,2.739,-0.171,9.112,4.24,badminton
3.577,4.799,3.619,1.705,7.357,2.605,0.099,9.297,4.204,badminton
3.065,4.768,3.559,3.013,6.823,2.276,0.588,9.649,3.697,badminton
2.532,4.735,3.542,4.402,6.796,2.518,1.341,10.161,2.697,badminton
2.201,4.785,3.68,5.195,7.204,3.579,2.278,10.986,1.881,badminton
2.282,4.979,3.974,4.488,7.329,4.241,3.383,12.084,1.852,badminton
2.707,5.326,4.3,2.933,7.44,4.088,4.687,13.325,2.976,badminton
3.302,5.757,4.515,1.393,8.113,3.36,6.073,14.341,4.313,badminton
3.837,6.199,4.847,0.117,9.094,1.814,7.033,14.931,4.159,badminton
3.837,6.199,4.847,-0.655,10.409,0.462,7.282,15.221,3.326,badminton
3.988,6.564,5.084,-0.728,10.433,0.195,6.762,15.082,2.027,badminton
4.045,7.047,5.115,0.067,9.281,1.053,6.043,14.569,0.715,badminton
4.355,7.748,5.185,1.089,7.269,2.274,5.715,13.889,-0.095,badminton
4.932,8.468,5.21,1.514,5.246,3.292,6.021,13.087,-0.493,badminton
5.607,9.054,5.207,1.235,4.599,3.452,6.462,12.257,-1.507,badminton
6.245,9.48,5.48,1.627,5.528,2.889,6.738,11.691,-2.114,badminton
6.689,9.676,6.057,2.963,6.817,2.473,6.823,11.134,-1.92,badminton
6.917,9.613,6.693,3.882,7.572,2.468,6.294,10.337,-1.778,badminton
6.917,9.613,7.239,4.009,7.567,2.377,5.234,9.467,-2.149,badminton
6.62,9.336,7.545,3.493,7.676,2.065,4.022,8.601,-2.602,badminton
5.867,9.136,7.539,2.541,8.174,2.212,2.711,7.802,-2.893,badminton
5.089,9.187,7.746,1.417,8.487,2.874,1.264,6.833,-3.378,badminton
4.621,9.403,7.738,0.437,8.362,3.674,-0.359,5.742,-4.438,badminton
4.706,9.607,7.634,-0.249,7.981,4.384,-2.142,4.735,-5.082,badminton
5.316,9.637,7.569,-0.573,7.921,5.011,-4.043,3.812,-4.703,badminton
6.227,9.499,7.622,-0.669,8.547,5.851,-5.88,2.911,-3.797,badminton
7.155,9.293,7.665,-0.833,9.451,6.776,-7.391,2.102,-2.561,badminton
7.818,9.1,7.758,-0.93,9.699,7.35,-8.231,1.445,-1.269,badminton
7.977,8.915,7.919,-0.777,9.392,7.433,-8.126,1.222,-0.218,badminton
7.661,8.764,8.061,-0.318,9.17,7.268,-7.061,1.462,0.887,badminton
7.132,8.619,8.131,0.297,9.173,7.141,-5.488,2.094,1.86,badminton
6.614,8.472,8.108,0.575,9.232,7.083,-3.877,2.976,2.624,badminton
6.309,8.335,7.955,0.413,9.14,7.062,-2.33,3.929,3.189,badminton
6.333,8.249,7.707,0.017,8.918,7.095,-1.014,4.693,3.774,badminton
6.627,8.195,7.41,-0.352,8.623,7.074,0.127,5.309,4.329,badminton
7.043,8.097,7.123,-0.669,8.382,6.931,1.226,5.71,4.925,badminton
7.408,7.926,6.942,-0.898,8.22,6.676,2.452,6.033,5.266,badminton
7.545,7.699,6.845,-0.974,8.116,6.351,4.073,6.25,4.908,badminton
7.429,7.47,6.821,-0.84,8.042,6.091,6.076,6.103,3.572,badminton
7.122,7.256,6.899,-0.54,8.059,5.959,7.669,5.671,2.389,badminton
6.732,7.016,7.003,-0.184,8.145,5.975,6.729,5.373,2.316,badminton
6.358,6.747,7.084,0.11,8.23,6.167,4.168,4.978,2.084,badminton
6.086,6.481,7.199,0.333,8.339,6.434,1.447,4.805,1.268,badminton
5.902,6.298,7.225,0.449,8.441,6.711,-0.889,5.337,1.141,badminton
5.754,6.195,7.19,0.451,8.496,6.88,-2.835,6.639,2.423,badminton
5.613,6.092,7.022,0.391,8.581,6.851,-4.43,8.987,3.892,badminton
5.472,5.924,6.843,0.341,8.704,6.698,-5.963,12.416,5.203,badminton
5.259,5.719,6.76,0.326,8.898,6.396,-7.441,16.682,6.788,badminton
5.004,5.527,6.713,0.365,9.027,6.118,-7.375,20.983,7.934,badminton
4.798,5.364,6.705,0.389,9.055,6.08,-8.492,23.434,7.734,badminton
4.717,5.195,6.772,0.425,8.967,6.225,-7.833,22.599,6.902,badminton
4.763,5.016,6.864,0.547,8.886,6.409,-5.832,18.167,6.312,badminton
4.796,4.806,6.888,0.716,8.856,6.511,-4.312,18.361,4.998,badminton
4.782,4.599,6.899,0.837,8.835,6.478,-3.391,13.24,3.442,badminton
4.745,4.368,6.858,0.984,8.787,6.389,-2.774,8.261,3.135,badminton
4.663,4.137,6.873,1.195,8.672,6.345,-2.336,4.271,4.578,badminton
4.536,3.91,6.947,1.476,8.51,6.361,-2.166,2.265,4.445,badminton
4.409,3.742,6.999,1.686,8.284,6.347,-2.042,2.884,6.169,badminton
4.276,3.62,7.113,1.828,8.004,6.3,-1.571,5.64,6.944,badminton
4.137,3.545,7.198,1.939,7.851,6.268,-0.831,9.323,6.061,badminton
4.011,3.516,7.211,1.987,7.81,6.249,-0.025,12.534,4.597,badminton
3.876,3.511,7.277,1.941,7.779,6.199,0.923,14.068,4.049,badminton
3.792,3.554,7.344,1.891,7.755,6.17,1.419,13.402,4.219,badminton
3.736,3.737,7.457,1.961,7.726,6.132,0.777,11.526,4.231,badminton
3.521,3.98,7.673,2.087,7.651,6.063,-0.108,9.525,4.405,badminton
3.19,4.208,7.833,2.194,7.525,5.93,-0.561,7.997,4.556,badminton
2.856,4.408,7.934,2.213,7.361,5.768,-0.749,7.314,4.368,badminton
2.456,4.557,7.986,2.152,7.147,5.551,-0.991,7.496,4.306,badminton
2.079,4.652,8.004,2.108,6.899,5.329,-1.518,8.074,4.561,badminton
1.793,4.738,7.955,2.137,6.62,5.155,-2.224,8.558,4.786,badminton
1.569,4.798,7.901,2.227,6.296,5.003,-2.927,8.793,4.721,badminton
1.403,4.833,7.847,2.319,5.948,4.873,-3.604,8.873,4.496,badminton
1.366,4.839,7.84,2.37,5.562,4.756,-4.07,8.815,4.289,badminton
1.401,4.806,7.73,2.381,5.144,4.669,-4.01,8.629,4.308,badminton
1.483,4.754,7.621,2.354,4.699,4.562,-3.324,8.352,4.549,badminton
1.687,4.715,7.56,2.29,4.435,4.515,-2.261,8.049,4.781,badminton
1.987,4.738,7.531,2.106,4.131,4.446,-1.729,7.938,5.017,badminton
2.334,4.784,7.535,1.871,3.891,4.326,-1.73,7.936,5.277,badminton
2.71,4.785,7.404,1.566,3.768,4.245,-1.774,7.943,5.422,badminton
3.067,4.743,7.28,1.202,3.966,4.351,-1.793,7.934,5.393,badminton
3.383,4.626,7.027,0.803,4.493,4.62,-1.747,7.834,5.144,badminton
3.615,4.466,6.215,0.443,5.122,4.873,-1.718,7.688,4.849,badminton
3.815,4.348,6.215,0.15,5.586,4.987,-1.639,7.472,4.782,badminton
4.082,4.427,5.825,-0.028,5.895,5.024,-1.375,7.386,4.761,badminton
4.405,4.65,5.567,-0.187,6.096,5.142,-1.476,7.743,4.875,badminton
4.749,4.836,5.337,-0.375,6.251,5.168,-1.8,8.009,5.059,badminton
5.169,5.012,5.332,-0.597,6.487,5.21,-1.973,7.96,5.25,badminton
5.485,5.23,5.476,-0.933,6.731,5.453,-1.847,7.709,5.406,badminton
5.708,5.454,5.589,-1.269,7.062,5.705,-1.607,7.474,5.455,badminton
5.777,5.601,5.563,-1.632,7.242,5.83,-1.336,7.365,5.442,badminton
5.742,5.727,5.373,-2.15,6.953,5.952,-1.079,7.424,5.438,badminton
5.796,5.891,4.956,-2.763,6.337,6.173,-0.886,7.569,5.476,badminton
5.988,6.066,4.362,-3.069,5.83,6.489,-0.733,7.748,5.535,badminton
6.262,6.187,3.652,-3.241,5.697,6.891,-0.622,7.906,5.564,badminton
6.497,6.337,2.861,-3.478,5.873,7.414,-0.503,8.07,5.538,badminton
6.767,6.563,2.178,-3.569,6.179,7.887,-0.366,8.246,5.456,badminton
7.22,6.922,1.797,-3.694,6.913,8.106,-0.263,8.402,5.273,badminton
7.799,7.205,1.671,-3.892,6.934,8.112,-0.242,8.515,5.073,badminton
8.416,7.348,1.833,-4.128,7.488,8.112,-0.311,8.552,4.982,badminton
8.882,7.36,2.126,-4.296,7.739,7.685,-0.511,8.449,4.906,badminton
8.874,7.21,2.296,-4.311,7.622,7.843,-0.753,8.23,4.76,badminton
8.35,6.938,2.229,-4.301,7.245,7.757,-0.918,8.062,4.523,badminton
7.655,6.725,1.941,-4.343,6.948,7.67,-0.955,8.046,4.341,badminton
7.269,6.59,1.423,-4.286,6.999,7.557,-0.904,8.127,4.181,badminton
7.355,6.438,0.858,-4.063,7.183,7.379,-0.833,8.265,4.017,badminton
7.764,6.325,0.458,-3.742,7.28,7.197,-0.755,8.411,3.862,badminton
8.255,6.353,0.335,-3.687,7.268,7.002,-0.685,8.535,3.686,badminton
8.604,6.45,0.293,-4.132,7.444,6.955,-0.655,8.666,3.475,badminton
8.751,6.527,0.385,-4.731,7.776,7.196,-0.699,8.851,3.359,badminton
8.718,6.528,0.541,-4.988,7.895,7.626,-0.791,9.092,3.503,badminton
8.596,6.415,0.594,-4.974,7.751,8.021,-0.889,9.374,3.815,badminton
8.521,6.148,0.488,-4.98,7.603,8.171,-0.893,9.65,4.029,badminton
8.644,5.833,0.099,-5.064,7.623,8.04,-0.743,9.797,4.002,badminton
8.99,5.573,-0.322,-5.128,7.768,7.907,-0.391,9.679,3.712,badminton
9.416,5.365,-0.601,-5.102,7.871,7.927,0.072,9.183,3.367,badminton
9.839,5.219,-0.716,-4.866,7.866,8.004,0.379,8.261,3.197,badminton
10.251,5.266,-0.743,-4.47,7.829,8.076,0.297,7.178,3.32,badminton
10.791,5.461,-0.74,-4.201,7.809,8.173,-0.221,6.337,3.882,badminton
11.614,5.626,-0.839,-4.202,7.746,8.181,-1.057,6.091,4.858,badminton
12.561,5.671,-1.044,-4.231,7.699,8.141,-2.116,6.524,6.237,badminton
13.499,5.551,-1.639,-4.295,7.593,8.118,-3.185,7.357,7.483,badminton
14.575,5.476,-2.608,-4.329,7.509,8.009,-3.98,8.284,7.758,badminton
16.041,5.533,-3.365,-4.231,7.369,7.943,-4.356,9.032,6.658,badminton
17.758,5.826,-3.845,-4.083,7.189,7.921,-4.208,9.349,4.745,badminton
19.112,6.406,-3.903,-3.882,7.064,7.918,-3.384,9.2,3.162,badminton
19.89,7.379,-3.757,-3.674,6.865,7.987,-2.101,8.726,2.613,badminton
20.454,8.697,-4.038,-3.445,6.565,7.962,-0.822,8.207,3.3,badminton
21.276,10.142,-4.999,-3.262,6.25,7.855,0.072,8.018,4.039,badminton
22.419,11.509,-6.442,-3.211,5.97,7.778,0.37,8.279,4.341,badminton
23.613,12.78,-7.968,-3.314,5.679,7.654,0.199,8.836,4.111,badminton
24.146,14.341,-9.041,-3.508,5.113,7.436,-0.077,9.406,3.642,badminton
23.99,16.702,-9.58,-3.508,5.113,7.436,-0.329,9.708,3.64,badminton
23.679,19.495,-9.943,-3.451,4.761,7.392,-0.607,9.645,3.943,badminton
23.499,22.24,-10.174,-3.309,4.385,7.36,-0.931,9.363,4.094,badminton
23.432,24.903,-10.337,-3.086,4.131,7.203,-1.352,9.078,4.007,badminton
23.329,27.597,-10.552,-2.879,4.038,6.976,-1.822,8.897,3.633,badminton
23.114,30.556,-10.87,-2.861,4.056,6.737,-2.157,8.88,3.095,badminton
23.009,33.719,-11.103,-3.048,4.196,6.632,-2.247,8.96,2.692,badminton
23.134,36.471,-10.858,-3.311,4.365,6.62,-2.017,9.044,2.453,badminton
23.037,37.846,-10.471,-3.418,4.572,6.58,-1.623,9.165,2.514,badminton
22.34,38.533,-9.756,-3.288,4.798,6.529,-1.338,9.27,2.83,badminton
21.076,38.878,-8.957,-2.893,4.952,6.53,-1.332,9.294,3.036,badminton
19.36,39.049,-8.138,-2.419,4.902,6.6,-1.585,9.264,3.098,badminton
17.227,39.136,-7.887,-2.025,4.776,6.663,-1.994,9.153,3.134,badminton
14.86,39.179,-7.891,-1.796,4.778,6.791,-2.492,8.991,3.041,badminton
12.936,39.2,-8.327,-1.791,4.903,6.984,-3.018,8.839,2.887,badminton
11.958,39.211,-8.422,-1.911,5.116,7.178,-3.467,8.788,2.719,badminton
11.299,39.217,-7.745,-1.958,5.346,7.275,-3.667,8.874,2.65,badminton
10.142,38.683,-6.916,-1.865,5.72,7.269,-3.606,8.944,2.909,badminton
8.191,37.013,-6.558,-1.776,6.373,7.299,-3.363,8.878,3.187,badminton
6.002,35.188,-6.415,-1.879,6.87,7.368,-2.974,8.764,3.269,badminton
3.551,33.052,-6.675,-2.054,6.858,7.33,-2.562,8.74,3.262,badminton
1.087,30.394,-6.924,-2.169,6.365,7.365,-2.233,8.838,3.178,badminton
-1.68,27.805,-6.895,-2.119,5.766,7.576,-1.997,9.037,2.944,badminton
-1.615,25.224,-6.706,-2,5.407,7.882,-1.806,9.285,2.664,badminton
-5.182,22.564,-5.379,-1.952,5.316,8.078,-1.617,9.518,2.448,badminton
-9.576,19.5,-4.059,-1.999,5.367,8.01,-1.399,9.724,2.271,badminton
-13.856,16.203,-4.01,-2.02,5.461,7.788,-1.046,9.938,2.094,badminton
-15.567,16.215,-3.43,-1.911,5.527,7.553,-0.512,10.148,2.03,badminton
-14.126,13.161,-2.008,-1.718,5.662,7.381,0.085,10.248,2.126,badminton
-11.953,10.763,-0.169,-1.603,5.832,7.305,0.596,10.218,2.253,badminton
-10.416,9.201,1.919,-1.561,6.036,7.271,0.961,10.005,2.454,badminton
-9.747,8.629,1.852,-1.537,6.178,7.201,1.189,9.65,2.608,badminton
-9.556,8.787,3.918,-1.489,6.24,7.159,1.269,9.221,2.631,badminton
-9.246,9.25,5.661,-1.435,6.194,7.131,1.255,8.792,2.602,badminton
-8.774,9.674,6.9,-1.451,6.097,7.07,1.227,8.398,2.719,badminton
-8.183,9.94,7.581,-1.52,6.114,6.965,1.136,8.176,3.072,badminton
-7.428,10.025,7.791,-1.549,6.232,6.85,0.949,8.168,3.713,badminton
-6.662,9.9,7.52,-1.488,6.324,6.764,0.723,8.359,4.496,badminton
-5.939,9.527,7.159,-1.416,6.358,6.687,0.498,8.628,5.122,badminton
-5.012,8.997,7.155,-1.354,6.378,6.625,0.251,8.854,5.434,badminton
-3.931,8.469,7.77,-1.329,6.402,6.588,0.01,8.924,5.557,badminton
-2.856,8.107,8.906,-1.311,6.404,6.613,-0.164,8.838,5.563,badminton
-1.895,7.95,10.412,-1.337,6.382,6.649,-0.194,8.618,5.501,badminton
-1.087,7.894,11.62,-1.279,6.363,6.676,-0.045,8.323,5.331,badminton
-0.279,7.837,12.182,-1.176,6.371,6.748,0.215,8.047,5.139,badminton
0.625,7.717,12.085,-1.148,6.384,6.813,0.48,7.842,5.051,badminton
1.614,7.489,11.48,-1.226,6.381,6.772,0.662,7.719,5.075,badminton
2.716,7.202,10.406,-1.354,6.42,6.655,0.691,7.617,5.206,badminton
3.82,6.925,10.258,-1.5,6.473,6.522,0.537,7.563,5.432,badminton
4.955,6.748,10.124,-1.545,6.533,6.357,0.181,7.475,5.742,badminton
6.238,6.705,9.96,-1.459,6.576,6.213,-0.284,7.338,6.122,badminton
7.695,6.765,9.697,-1.375,6.583,6.189,-0.789,7.187,6.537,badminton
9.281,6.861,9.306,-1.445,6.533,6.281,-1.34,7.089,6.803,badminton
10.873,6.795,8.654,-1.547,6.489,6.458,-1.945,7.077,6.755,badminton
12.386,6.527,8.13,-1.602,6.482,6.621,-2.483,7.104,6.399,badminton
13.524,6.127,7.687,-1.614,6.511,6.727,-2.86,7.266,5.835,badminton
14.002,5.641,7.342,-1.583,6.56,6.783,-2.86,7.488,5.288,badminton
13.792,5.146,7.276,-1.624,6.595,6.802,-3.035,7.727,4.84,badminton
13.052,4.697,7.344,-1.699,6.586,6.789,-2.96,8.013,4.472,badminton
12.361,4.336,7.464,-1.749,6.512,6.716,-2.703,8.346,4.207,badminton
12.068,4.05,7.539,-1.784,6.455,6.614,-2.16,8.625,4.233,badminton
12.121,3.758,7.539,-1.745,6.444,6.59,-1.954,8.71,4.583,badminton
12.21,3.443,7.479,-1.727,6.393,6.58,-1.954,8.404,5.06,badminton
12.054,3.075,7.326,-1.737,6.331,6.566,-1.508,8.285,5.41,badminton
11.598,2.684,6.987,-1.774,6.293,6.524,-1.508,8.285,5.41,badminton
10.991,2.229,6.608,-1.827,6.275,6.432,-1.239,8.025,5.675,badminton
10.436,1.702,6.219,-1.824,6.264,6.319,-0.915,7.902,5.951,badminton
9.995,1.186,5.765,-1.759,6.346,6.258,-0.537,7.902,6.007,badminton
9.706,0.729,5.315,-1.665,6.54,6.256,-0.119,7.999,5.759,badminton
9.488,0.362,4.865,-1.567,6.738,6.33,0.182,8.159,5.365,badminton
9.297,0.098,4.432,-1.512,6.789,6.509,0.292,8.323,5.065,badminton
9.073,-0.034,4.08,-1.55,6.778,6.649,0.217,8.423,4.887,badminton
8.789,0.024,3.796,-1.608,6.698,6.77,0.03,8.437,4.867,badminton
8.452,0.265,3.565,-1.663,6.573,6.887,-0.148,8.412,4.908,badminton
8.113,0.632,3.384,-1.736,6.421,7.011,-0.272,8.346,4.817,badminton
7.717,1.064,3.22,-1.872,6.305,7.07,-0.318,8.276,4.565,badminton
7.244,1.466,3.005,-2.014,6.268,7.069,-0.37,8.203,4.343,badminton
6.79,1.719,2.778,-2.122,6.173,7.027,-0.541,8.156,4.27,badminton
6.517,1.696,2.599,-2.169,6.09,6.917,-0.826,8.157,4.332,badminton
6.609,1.462,2.565,-2.186,6.041,6.803,-1.18,8.234,4.415,badminton
6.968,1.341,2.703,-2.201,6.068,6.75,-1.568,8.341,4.493,badminton
7.403,1.663,3.048,-2.266,6.144,6.806,-1.884,8.405,4.52,badminton
